order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit,return_flag,payment_method,order_status,shipping_cost
ORD001981,2023-01-01,CUST06308,PROD0079,STORE020,2,7493.16,7.87,13806.9,11689.33,1876.94,False,Net Banking,Completed,240.63
ORD014945,2023-01-01,CUST05306,PROD0509,STORE030,3,1463.16,10.56,3925.95,3423.79,111.09,False,Upi,Completed,391.07
ORD021682,2023-01-01,CUST01797,PROD0579,STORE025,2,599.39,11.68,1058.76,935.05,-378.69,False,Net Banking,Completed,502.4
ORD032872,2023-01-01,CUST02767,PROD0142,STORE014,3,600.48,5.1,1709.57,1405.12,-18.73,False,Credit Card,Completed,323.18
ORD037145,2023-01-01,CUST01813,PROD0597,STORE029,1,2206.47,2.18,2158.37,1721.05,205.5,False,Credit Card,Completed,231.82
ORD041301,2023-01-01,CUST03414,PROD0380,STORE035,3,30484.04,5.27,86632.59,71332.65,15230.89,False,Wallet,Cancelled,69.05
ORD043221,2023-01-01,CUST01620,PROD0489,STORE030,2,10743.47,3.04,20833.74,16759.81,4003.47,False,Debit Card,Completed,70.46
ORD047498,2023-01-01,CUST03496,PROD0224,STORE020,2,8577.34,10.74,15312.27,13380.65,1835.92,False,Credit Card,Completed,95.7
ORD048399,2023-01-01,CUST02788,PROD0579,STORE023,3,581.8,2.72,1697.93,1361.41,196.32,False,Upi,Completed,140.2
ORD054884,2023-01-01,CUST04230,PROD0715,STORE017,1,9682.81,14.81,8248.79,7552.59,638.27,False,Wallet,Completed,57.93
ORD067505,2023-01-01,CUST04920,PROD0049,STORE012,1,38808.78,2.33,37904.54,30270.85,7475.64,False,Upi,Completed,158.05
ORD075372,2023-01-01,CUST04934,PROD0248,STORE023,7,8371.35,7.45,54233.79,45707.57,8373.54,False,Upi,Completed,152.68
ORD078590,2023-01-01,CUST02936,PROD0302,STORE023,3,38892.84,12.24,102397.07,91009.25,11323.68,False,Credit Card,Completed,64.14
ORD086150,2023-01-01,CUST06071,PROD0087,STORE012,4,5573.42,11.59,19709.84,17389.07,2088.89,False,Net Banking,Completed,231.88
ORD089600,2023-01-01,CUST03125,PROD0078,STORE003,3,335.09,5.65,948.47,784.11,-43.84,True,Upi,Returned,208.2
ORD000938,2023-01-02,CUST00306,PROD0523,STORE026,2,20348.2,8.03,37428.48,31743.19,5509.54,False,Upi,Completed,175.75
ORD002782,2023-01-02,CUST03662,PROD0085,STORE022,6,3314.21,4.62,18966.56,15510.5,3242.86,False,Credit Card,Completed,213.2
ORD003492,2023-01-02,CUST00047,PROD0377,STORE017,4,1209.1,14.38,4140.93,3772.39,337.82,False,Credit Card,Completed,30.72
ORD007094,2023-01-02,CUST02944,PROD0608,STORE010,3,25676.63,6.04,72377.28,60083.31,12047.67,True,Upi,Returned,246.3
ORD017407,2023-01-02,CUST04627,PROD0163,STORE009,5,2294.52,10.84,10228.97,8948.63,1210.36,False,Upi,Cancelled,69.98
ORD032068,2023-01-02,CUST05372,PROD0598,STORE014,4,4294.44,8.28,15755.44,13398.65,2228.76,False,Cash,Completed,128.03
ORD035605,2023-01-02,CUST06323,PROD0280,STORE003,2,62515.3,7.25,115965.88,97523.87,18395.94,False,Credit Card,Completed,46.07
ORD036345,2023-01-02,CUST05386,PROD0605,STORE026,12,10573.19,8.71,115827.18,98965.06,16525.29,False,Net Banking,Completed,336.83
ORD038483,2023-01-02,CUST01819,PROD0341,STORE028,1,11646.85,4.77,11091.3,9084.54,1970.31,False,Credit Card,Cancelled,36.45
ORD042188,2023-01-02,CUST02408,PROD0331,STORE035,1,435.49,1.08,430.79,339.68,-92.32,False,Net Banking,Completed,183.43
ORD044374,2023-01-02,CUST06983,PROD0289,STORE003,7,7492.22,24.87,39402.33,40907.52,-1575.08,False,Debit Card,Completed,69.89
ORD049652,2023-01-02,CUST02246,PROD0571,STORE029,1,838.32,8.6,766.22,653.89,-45.44,False,Credit Card,Completed,157.77
ORD061044,2023-01-02,CUST06225,PROD0011,STORE014,3,1413.38,8.29,3888.63,3307.31,478.46,False,Net Banking,Pending,102.86
ORD071645,2023-01-02,CUST05105,PROD0355,STORE029,2,5647.82,1.57,11118.3,8810.6,2230.93,False,Cash,Completed,76.77
ORD072339,2023-01-02,CUST01665,PROD0655,STORE028,2,20364.85,3.54,39287.87,31769.17,7296.24,False,Upi,Completed,222.46
ORD073636,2023-01-02,CUST03414,PROD0301,STORE020,4,548.28,13.4,1899.24,1710.63,61.18,False,Net Banking,Completed,127.43
ORD022652,2023-01-03,CUST01749,PROD0064,STORE023,2,22812.67,9.15,41450.62,35587.77,5699.52,True,Cash,Returned,163.33
ORD027621,2023-01-03,CUST04660,PROD0321,STORE003,13,65846.95,8.78,780852.64,667688.07,112997.0,False,Credit Card,Cancelled,167.57
ORD044260,2023-01-03,CUST02286,PROD0607,STORE028,3,15100.8,8.48,41460.76,35335.87,5936.94,False,Upi,Completed,187.95
ORD047206,2023-01-03,CUST06290,PROD0398,STORE030,1,23638.29,1.11,23375.9,18437.87,4872.48,False,Upi,Completed,65.55
ORD051605,2023-01-03,CUST00973,PROD0022,STORE025,3,16943.44,5.1,48237.97,39647.65,8503.04,False,Credit Card,Completed,87.28
ORD064670,2023-01-03,CUST06792,PROD0067,STORE009,2,12136.69,19.17,19620.17,18933.24,315.64,False,Net Banking,Completed,371.29
ORD068696,2023-01-03,CUST01416,PROD0715,STORE003,1,9137.3,4.76,8702.36,7127.09,1507.67,False,Cash,Completed,67.6
ORD076884,2023-01-03,CUST00897,PROD0199,STORE035,5,7740.98,9.57,35000.84,30189.82,4716.75,False,Wallet,Completed,94.27
ORD087156,2023-01-03,CUST01118,PROD0521,STORE029,2,53514.68,7.21,99312.54,83482.9,15724.92,False,Upi,Completed,104.72
ORD089110,2023-01-03,CUST03969,PROD0254,STORE019,2,4815.26,5.79,9072.91,7511.81,1537.4,False,Debit Card,Completed,23.7
ORD008506,2023-01-04,CUST06695,PROD0649,STORE022,2,1980.21,6.54,3701.41,3089.13,550.72,False,Upi,Completed,61.56
ORD041382,2023-01-04,CUST00911,PROD0081,STORE019,4,79160.41,8.3,290360.38,246980.48,43273.44,False,Credit Card,Completed,106.46
ORD046784,2023-01-04,CUST04735,PROD0626,STORE010,7,7869.13,5.75,51916.59,42965.45,8755.4,False,Upi,Completed,195.74
ORD048688,2023-01-04,CUST07142,PROD0302,STORE029,3,37856.54,4.94,107959.28,88584.3,19296.32,False,Credit Card,Completed,78.66
ORD053620,2023-01-04,CUST00161,PROD0651,STORE028,3,67056.44,1.73,197689.09,156912.07,40740.53,False,Credit Card,Completed,36.49
ORD053716,2023-01-04,CUST06214,PROD0438,STORE012,4,41493.82,18.1,135933.75,129460.72,6339.54,False,Credit Card,Completed,133.49
ORD061295,2023-01-04,CUST07364,PROD0053,STORE029,2,20623.36,5.86,38829.66,32172.44,6555.79,False,Upi,Completed,101.43
ORD062470,2023-01-04,CUST03197,PROD0727,STORE009,3,25961.69,3.69,75011.11,60750.35,14153.34,False,Upi,Completed,107.42
ORD062571,2023-01-04,CUST03948,PROD0321,STORE023,3,66730.01,12.66,174845.97,156148.22,18529.31,False,Wallet,Pending,168.44
ORD072386,2023-01-04,CUST06389,PROD0355,STORE023,3,5242.35,4.83,14967.43,12267.1,2504.96,False,Credit Card,Completed,195.37
ORD077050,2023-01-04,CUST00587,PROD0368,STORE019,3,8186.08,8.97,22355.37,19155.43,3151.19,False,Net Banking,Completed,48.75
ORD080533,2023-01-04,CUST03873,PROD0030,STORE003,1,36822.96,3.3,35607.8,28721.91,6725.32,False,Cash,Completed,160.57
ORD082452,2023-01-04,CUST04918,PROD0345,STORE022,11,1107.37,13.73,10508.61,9501.23,904.09,False,Credit Card,Cancelled,103.29
ORD084147,2023-01-04,CUST03414,PROD0662,STORE018,2,43657.21,13.26,75736.53,68105.25,7439.45,False,Upi,Completed,191.83
ORD085602,2023-01-04,CUST00181,PROD0213,STORE003,1,2587.97,6.27,2425.7,2018.62,255.22,False,Credit Card,Completed,151.86
ORD007618,2023-01-05,CUST04778,PROD0301,STORE017,1,556.68,7.9,512.7,434.21,-154.17,False,Credit Card,Completed,232.66
ORD013746,2023-01-05,CUST03661,PROD0362,STORE028,2,5064.75,11.2,8995.0,7901.01,1007.55,False,Upi,Completed,86.44
ORD019296,2023-01-05,CUST05301,PROD0310,STORE028,1,22220.44,1.53,21880.47,17331.94,4439.44,False,Credit Card,Completed,109.09
ORD021757,2023-01-05,CUST03427,PROD0353,STORE019,2,1088.29,5.09,2065.79,1697.73,338.77,False,Credit Card,Completed,29.29
ORD023404,2023-01-05,CUST00909,PROD0085,STORE030,3,3283.47,3.64,9491.86,7683.32,1764.94,False,Credit Card,Completed,43.6
ORD031523,2023-01-05,CUST03243,PROD0367,STORE003,5,1661.13,15.73,6999.17,6478.41,8.85,False,Credit Card,Completed,511.91
ORD032233,2023-01-05,CUST02959,PROD0583,STORE022,1,26777.59,10.38,23998.08,20886.52,3012.59,False,Cash,Completed,98.97
ORD034894,2023-01-05,CUST07304,PROD0380,STORE026,1,28563.76,3.71,27504.04,22279.73,5186.07,False,Upi,Completed,38.24
ORD041771,2023-01-05,CUST04230,PROD0165,STORE029,2,26273.53,5.05,49893.43,40986.71,8810.4,False,Net Banking,Completed,96.32
ORD046404,2023-01-05,CUST03666,PROD0199,STORE019,3,7262.24,6.18,20440.3,16993.64,3325.58,False,Credit Card,Completed,121.08
ORD047418,2023-01-05,CUST02461,PROD0031,STORE010,2,7542.98,4.47,14411.62,11767.05,2480.35,False,Upi,Completed,164.22
ORD073470,2023-01-05,CUST00881,PROD0632,STORE030,2,39954.19,4.98,75928.94,62328.54,13325.67,False,Upi,Completed,274.73
ORD075419,2023-01-05,CUST04445,PROD0642,STORE010,2,9916.22,5.92,18658.36,15469.3,3101.3,False,Cash,Completed,87.76
ORD077607,2023-01-05,CUST01485,PROD0627,STORE012,3,7740.38,6.83,21635.14,18112.49,3353.49,False,Credit Card,Completed,169.16
ORD079839,2023-01-05,CUST07396,PROD0697,STORE010,12,10551.49,9.32,114817.09,98761.95,15974.81,False,Credit Card,Completed,80.33
ORD080267,2023-01-05,CUST03873,PROD0087,STORE023,1,5609.17,0.53,5579.44,4375.15,1076.34,False,Credit Card,Completed,127.95
ORD087594,2023-01-05,CUST03384,PROD0456,STORE034,2,4935.28,6.27,9251.68,7699.04,1283.84,False,Cash,Completed,268.8
ORD004179,2023-01-06,CUST02129,PROD0112,STORE018,3,14430.81,13.51,37443.62,33768.1,3659.66,False,Debit Card,Completed,15.86
ORD010727,2023-01-06,CUST06507,PROD0633,STORE026,2,20125.32,4.74,38342.76,31395.5,6914.64,False,Upi,Completed,32.62
ORD012230,2023-01-06,CUST00981,PROD0569,STORE029,2,3218.41,5.35,6092.45,5020.72,957.87,False,Debit Card,Cancelled,113.86
ORD014104,2023-01-06,CUST04157,PROD0386,STORE017,6,22745.49,6.4,127738.67,106448.89,21073.63,False,Credit Card,Completed,216.15
ORD019373,2023-01-06,CUST03162,PROD0277,STORE034,1,4983.14,6.99,4634.82,3886.85,693.55,False,Debit Card,Completed,54.42
ORD023440,2023-01-06,CUST01342,PROD0453,STORE014,3,34506.58,15.22,87764.04,80745.4,6969.23,False,Credit Card,Completed,49.41
ORD025884,2023-01-06,CUST00012,PROD0039,STORE012,1,15047.11,5.06,14285.73,11736.75,2176.52,False,Wallet,Completed,372.46
ORD030255,2023-01-06,CUST07459,PROD0547,STORE028,2,34508.37,5.57,65172.51,53833.06,11272.1,False,Debit Card,Completed,67.35
ORD031763,2023-01-06,CUST05364,PROD0249,STORE014,1,3121.98,11.48,2763.58,2435.14,134.94,False,Debit Card,Completed,193.5
ORD044284,2023-01-06,CUST04097,PROD0475,STORE003,2,9794.19,17.04,16250.52,15278.94,921.37,False,Credit Card,Completed,50.21
ORD045983,2023-01-06,CUST00133,PROD0057,STORE023,3,3238.64,5.96,9136.85,7578.42,1439.07,False,Upi,Completed,119.36
ORD047192,2023-01-06,CUST02412,PROD0043,STORE010,3,23007.72,18.65,56150.34,53838.06,1802.42,False,Upi,Completed,509.86
ORD049861,2023-01-06,CUST07082,PROD0208,STORE010,1,11417.3,2.0,11188.95,8905.49,2248.5,False,Credit Card,Cancelled,34.96
ORD059819,2023-01-06,CUST02677,PROD0452,STORE026,1,114135.89,2.05,111796.1,89025.99,22718.32,False,Debit Card,Pending,51.79
ORD066998,2023-01-06,CUST04575,PROD0626,STORE022,4,7873.22,8.49,28819.13,24564.45,4224.68,False,Upi,Completed,30.0
ORD067598,2023-01-06,CUST04666,PROD0585,STORE017,6,2025.47,5.56,11477.12,9479.2,1833.05,False,Wallet,Completed,164.87
ORD069332,2023-01-06,CUST00057,PROD0411,STORE022,4,24520.97,5.8,92395.01,76505.43,15747.87,False,Upi,Completed,141.71
ORD069563,2023-01-06,CUST06956,PROD0425,STORE028,5,2653.6,6.31,12430.79,10349.04,1796.67,False,Credit Card,Cancelled,285.08
ORD074849,2023-01-06,CUST02045,PROD0019,STORE018,1,5983.99,7.52,5533.99,4667.51,789.15,False,Upi,Completed,77.33
ORD076156,2023-01-06,CUST03895,PROD0097,STORE028,7,7770.27,6.57,50818.34,42425.67,8258.87,False,Credit Card,Completed,133.8
ORD076179,2023-01-06,CUST03221,PROD0452,STORE009,5,110517.48,9.22,501638.84,431018.17,70590.67,False,Cash,Completed,30.0
ORD076408,2023-01-06,CUST06974,PROD0468,STORE029,3,13843.28,10.61,37123.52,32393.28,4565.8,False,Upi,Completed,164.44
ORD079427,2023-01-06,CUST05368,PROD0140,STORE010,5,3990.57,3.42,19270.46,15563.22,3605.56,False,Upi,Completed,101.68
ORD080516,2023-01-06,CUST02154,PROD0329,STORE028,9,508.53,11.62,4044.95,3569.88,383.65,False,Wallet,Completed,91.42
ORD087875,2023-01-06,CUST07325,PROD0510,STORE029,2,10296.72,11.54,18216.96,16062.88,1993.62,False,Wallet,Completed,160.46
ORD000250,2023-01-07,CUST06323,PROD0341,STORE022,1,11770.79,0.71,11687.22,9181.22,2421.93,False,Credit Card,Completed,84.07
ORD006179,2023-01-07,CUST02656,PROD0626,STORE035,3,7893.12,7.85,21820.53,18469.9,3317.66,False,Credit Card,Completed,32.97
ORD013942,2023-01-07,CUST06165,PROD0004,STORE028,2,21297.72,4.83,40538.08,33224.44,7145.38,False,Debit Card,Completed,168.26
ORD017027,2023-01-07,CUST03824,PROD0651,STORE029,2,70725.28,4.92,134491.19,110331.44,24116.15,False,Upi,Completed,43.6
ORD019031,2023-01-07,CUST00910,PROD0571,STORE019,1,857.99,5.24,813.03,669.23,113.8,False,Net Banking,Completed,30.0
ORD020522,2023-01-07,CUST00244,PROD0083,STORE003,1,10016.59,3.73,9642.97,7812.94,1564.83,False,Wallet,Completed,265.2
ORD032984,2023-01-07,CUST01146,PROD0085,STORE012,4,3331.73,2.19,13035.06,10395.0,2528.33,False,Cash,Completed,111.73
ORD042441,2023-01-07,CUST06736,PROD0329,STORE010,5,525.35,8.37,2406.89,2048.87,146.97,False,Debit Card,Completed,211.05
ORD043128,2023-01-07,CUST01715,PROD0749,STORE026,2,7631.9,11.42,13520.67,11905.76,1380.5,False,Cash,Completed,234.41
ORD059265,2023-01-07,CUST06984,PROD0704,STORE012,1,4657.98,6.12,4372.91,3633.22,443.23,False,Upi,Completed,296.46
ORD061291,2023-01-07,CUST04098,PROD0167,STORE019,1,10619.87,12.82,9258.4,8283.5,934.45,False,Wallet,Cancelled,40.45
ORD061981,2023-01-07,CUST00559,PROD0477,STORE019,3,10889.36,6.29,30613.26,25481.1,5063.47,False,Credit Card,Completed,68.69
ORD062842,2023-01-07,CUST00939,PROD0723,STORE019,1,104714.24,15.67,88305.52,81677.11,6598.41,False,Debit Card,Completed,30.0
ORD072171,2023-01-07,CUST02217,PROD0386,STORE018,2,23815.35,7.42,44096.5,37151.95,6748.95,True,Wallet,Returned,195.6
ORD074502,2023-01-07,CUST00835,PROD0617,STORE029,5,1709.25,5.96,8036.89,6666.08,1294.03,False,Credit Card,Completed,76.78
ORD075328,2023-01-07,CUST00446,PROD0642,STORE012,2,9572.31,6.21,17955.74,14932.8,2992.94,False,Debit Card,Completed,30.0
ORD082766,2023-01-07,CUST04558,PROD0115,STORE034,5,66764.36,12.09,293462.74,260381.0,32933.7,False,Credit Card,Completed,148.04
