order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit,return_flag,payment_method,order_status,shipping_cost
ORD085253,2023-01-12,CUST01821,PROD0135,STORE009,5,2905.89,0.48,7555.31,11332.97,-3896.11,False,Debit Card,Completed,118.45
ORD086048,2023-01-18,CUST00720,PROD0116,STORE004,1,7008.76,0.87,911.14,5466.83,-4572.84,False,Net Banking,Completed,17.15
ORD057837,2023-01-20,CUST01706,PROD0079,STORE011,5,7532.25,0.81,7155.64,29375.78,-22356.98,False,Upi,Completed,136.84
ORD038115,2023-02-14,CUST01760,PROD0260,STORE015,2,2528.03,0.05,4803.26,3943.73,643.72,False,Upi,Cancelled,215.81
ORD015931,2023-02-26,CUST01448,PROD0033,STORE005,4,39547.62,0.42,91750.48,123388.57,-31814.75,False,Upi,Completed,176.66
ORD071265,2023-03-09,CUST01270,PROD0070,STORE011,3,13262.87,0.8,7957.72,31035.12,-23170.58,False,Upi,Completed,93.18
ORD031100,2023-03-17,CUST01804,PROD0079,STORE014,3,7490.67,0.7,6741.6,17528.17,-10936.83,False,Debit Card,Completed,150.26
ORD088623,2023-03-26,CUST00611,PROD0263,STORE004,1,8260.61,0.36,5286.79,6443.28,-1289.87,False,Upi,Completed,133.38
ORD062361,2023-04-05,CUST00969,PROD0019,STORE010,1,6094.54,0.43,3473.89,4753.74,-1522.4,False,Credit Card,Completed,242.55
ORD078346,2023-04-12,CUST00862,PROD0150,STORE006,3,4164.35,0.69,3872.85,9744.58,-5995.21,False,Upi,Completed,123.48
ORD023408,2023-04-26,CUST00622,PROD0189,STORE009,4,4001.57,0.46,8643.39,12484.9,-3880.09,False,Debit Card,Completed,38.58
ORD038735,2023-04-28,CUST01895,PROD0191,STORE010,2,3489.33,0.69,2163.38,5443.35,-3408.2,False,Wallet,Completed,128.23
ORD012980,2023-04-29,CUST01260,PROD0249,STORE005,2,3232.75,0.18,5301.71,5043.09,18.33,False,Credit Card,Completed,240.29
ORD033637,2023-05-15,CUST01107,PROD0038,STORE018,4,3659.49,0.18,12003.13,11417.61,442.81,True,Wallet,Returned,142.71
ORD000597,2023-05-16,CUST00829,PROD0180,STORE015,3,3942.84,0.69,3666.84,9226.25,-5792.39,False,Net Banking,Completed,232.98
ORD004106,2023-06-01,CUST01527,PROD0226,STORE010,4,1940.17,0.92,620.85,6053.33,-5580.93,False,Cash,Completed,148.45
ORD086963,2023-06-08,CUST01902,PROD0063,STORE010,1,1080.02,0.74,280.81,842.42,-1191.12,False,Upi,Completed,629.51
ORD056875,2023-06-25,CUST01321,PROD0188,STORE011,2,851.98,0.81,323.75,1329.09,-1134.37,False,Cash,Completed,129.03
ORD027300,2023-06-29,CUST01193,PROD0087,STORE008,2,5872.04,0.74,3053.46,9160.38,-6278.98,False,Upi,Completed,172.06
ORD048881,2023-06-30,CUST01913,PROD0064,STORE006,1,22318.88,0.62,8481.17,17408.73,-9097.34,False,Net Banking,Completed,169.78
ORD021572,2023-07-02,CUST01275,PROD0108,STORE016,2,3583.92,0.63,2652.1,5590.92,-2988.14,False,Credit Card,Completed,49.32
ORD088440,2023-07-07,CUST00112,PROD0018,STORE013,1,16391.04,0.91,1475.19,12785.01,-11448.75,False,Credit Card,Completed,138.93
ORD004322,2023-07-18,CUST00245,PROD0100,STORE013,4,83179.11,0.37,209611.36,259518.82,-50043.11,False,Debit Card,Completed,135.65
ORD009822,2023-07-22,CUST01042,PROD0059,STORE014,1,2286.98,0.29,1623.76,1783.84,-376.07,False,Credit Card,Completed,215.99
ORD014645,2023-07-24,CUST00258,PROD0036,STORE012,5,8703.19,0.49,22193.13,33942.44,-11779.31,False,Cash,Cancelled,30.0
ORD011958,2023-07-28,CUST00224,PROD0086,STORE003,1,5023.6,0.95,251.18,3918.41,-3773.45,False,Debit Card,Completed,106.22
ORD019792,2023-08-16,CUST00344,PROD0057,STORE007,3,3213.5,0.64,3470.58,7519.59,-4401.71,False,Upi,Completed,352.7
ORD005304,2023-08-17,CUST00649,PROD0114,STORE017,3,1536.47,0.81,875.79,3595.34,-2775.52,False,Upi,Completed,55.97
ORD078824,2023-08-22,CUST00947,PROD0085,STORE015,4,3297.62,0.57,5671.91,10288.57,-4646.66,False,Credit Card,Completed,30.0
ORD021941,2023-09-27,CUST01173,PROD0064,STORE017,6,23072.81,0.08,127361.91,107980.75,19201.71,True,Upi,Returned,179.45
ORD033865,2023-09-27,CUST00035,PROD0020,STORE011,3,4403.04,0.99,132.09,10303.11,-10270.06,False,Upi,Cancelled,99.04
ORD061315,2023-10-27,CUST00755,PROD0087,STORE011,2,5323.2,0.03,10327.01,8304.19,1992.82,False,Debit Card,Completed,30.0
ORD083121,2023-10-29,CUST00206,PROD0236,STORE009,1,8434.27,0.66,2867.65,6578.73,-3741.08,False,Upi,Completed,30.0
ORD085620,2023-10-29,CUST01706,PROD0020,STORE014,1,4400.24,0.53,2068.11,3432.19,-1465.58,False,Upi,Completed,101.5
ORD078620,2023-11-15,CUST01743,PROD0095,STORE017,1,38588.05,0.53,18136.38,30098.68,-12106.49,False,Credit Card,Completed,144.19
ORD081388,2023-11-21,CUST00994,PROD0237,STORE004,2,18454.31,0.42,21407.0,28788.72,-7590.26,True,Net Banking,Returned,208.54
ORD084521,2023-11-29,CUST01263,PROD0136,STORE011,1,7782.29,0.72,2179.04,6070.19,-4112.53,False,Credit Card,Completed,221.38
ORD010552,2023-11-30,CUST01405,PROD0030,STORE003,4,36374.97,0.91,13094.99,113489.91,-100678.12,False,Upi,Completed,283.2
ORD075001,2023-12-02,CUST00258,PROD0208,STORE004,2,11459.72,0.18,18793.94,17877.16,892.31,True,Credit Card,Returned,24.47
ORD035400,2023-12-22,CUST00558,PROD0230,STORE010,2,103513.15,0.63,76599.73,161480.51,-85029.05,False,Cash,Completed,148.27
ORD036544,2024-02-05,CUST01158,PROD0260,STORE001,4,2517.2,0.78,2215.14,7853.66,-5750.92,False,Net Banking,Completed,112.4
ORD003517,2024-02-15,CUST01527,PROD0163,STORE016,1,2404.1,0.22,1875.2,1875.2,-87.93,False,Cash,Completed,87.93
ORD075197,2024-03-28,CUST01529,PROD0284,STORE009,4,10391.55,0.83,7066.25,32421.64,-25554.68,False,Credit Card,Completed,199.29
ORD014797,2024-04-17,CUST01823,PROD0202,STORE015,3,677.02,0.86,284.35,1584.23,-1363.2,False,Credit Card,Completed,63.32
ORD010432,2024-04-30,CUST00344,PROD0277,STORE017,4,5061.63,0.61,7896.14,15792.29,-8188.54,False,Cash,Completed,292.39
ORD045415,2024-04-30,CUST00768,PROD0200,STORE009,2,9876.38,0.24,15012.1,15407.15,-672.61,False,Credit Card,Completed,277.56
ORD076205,2024-05-01,CUST01373,PROD0100,STORE001,4,81298.39,0.12,286170.33,253650.98,32420.5,False,Debit Card,Completed,98.85
ORD054715,2024-05-21,CUST01041,PROD0119,STORE017,1,121545.54,0.57,52264.58,94805.52,-42597.54,False,Credit Card,Completed,56.6
