table,row_index,issue_type,description
customers,938,inconsistent_city_format,Capitalization or extra spaces in city
customers,4085,inconsistent_city_format,Capitalization or extra spaces in city
customers,5330,inconsistent_city_format,Capitalization or extra spaces in city
customers,4033,inconsistent_city_format,Capitalization or extra spaces in city
customers,5750,inconsistent_city_format,Capitalization or extra spaces in city
customers,3844,inconsistent_city_format,Capitalization or extra spaces in city
customers,5403,inconsistent_city_format,Capitalization or extra spaces in city
customers,957,inconsistent_city_format,Capitalization or extra spaces in city
customers,2891,inconsistent_city_format,Capitalization or extra spaces in city
customers,5162,inconsistent_city_format,Capitalization or extra spaces in city
customers,5935,inconsistent_city_format,Capitalization or extra spaces in city
customers,6562,inconsistent_city_format,Capitalization or extra spaces in city
customers,3832,inconsistent_city_format,Capitalization or extra spaces in city
customers,4397,inconsistent_city_format,Capitalization or extra spaces in city
customers,5483,inconsistent_city_format,Capitalization or extra spaces in city
customers,7369,inconsistent_city_format,Capitalization or extra spaces in city
customers,5519,inconsistent_city_format,Capitalization or extra spaces in city
customers,5088,inconsistent_city_format,Capitalization or extra spaces in city
customers,3810,inconsistent_city_format,Capitalization or extra spaces in city
customers,418,inconsistent_city_format,Capitalization or extra spaces in city
customers,4803,inconsistent_city_format,Capitalization or extra spaces in city
customers,2866,inconsistent_city_format,Capitalization or extra spaces in city
customers,478,inconsistent_city_format,Capitalization or extra spaces in city
customers,3605,inconsistent_city_format,Capitalization or extra spaces in city
customers,1232,inconsistent_city_format,Capitalization or extra spaces in city
customers,5524,inconsistent_city_format,Capitalization or extra spaces in city
customers,5193,inconsistent_city_format,Capitalization or extra spaces in city
customers,753,inconsistent_city_format,Capitalization or extra spaces in city
customers,309,inconsistent_city_format,Capitalization or extra spaces in city
customers,313,inconsistent_city_format,Capitalization or extra spaces in city
customers,7474,inconsistent_city_format,Capitalization or extra spaces in city
customers,3434,inconsistent_city_format,Capitalization or extra spaces in city
customers,1918,inconsistent_city_format,Capitalization or extra spaces in city
customers,1261,inconsistent_city_format,Capitalization or extra spaces in city
customers,4618,inconsistent_city_format,Capitalization or extra spaces in city
customers,3807,inconsistent_city_format,Capitalization or extra spaces in city
customers,451,inconsistent_city_format,Capitalization or extra spaces in city
customers,7209,inconsistent_city_format,Capitalization or extra spaces in city
