order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit,return_flag,payment_method,order_status,shipping_cost
ORD085718,2023-01-15,CUST05964,PROD0611,STORE030,7,4012.0,6.21,26339.84,20071.03,5995.25,False,Credit Card,Completed,-50.0
ORD034549,2023-03-25,CUST00711,PROD0529,STORE035,0,15663.81,2.66,76234.43,55170.7,20854.55,False,Cash,Completed,209.18
ORD080388,2023-04-06,CUST01397,PROD0725,STORE017,5,76513.61,28.41,273868.98,267432.3,6399.23,False,Upi,Completed,-50.0
ORD064133,2023-04-20,CUST06138,PROD0666,STORE025,4,29513.58,9.25,107133.5,79549.72,27546.82,False,Debit Card,Completed,-50.0
ORD024452,2023-05-15,CUST04277,PROD0704,STORE030,0,4927.25,0.91,4882.41,3440.51,1328.31,False,Credit Card,Completed,113.59
ORD002915,2023-06-05,CUST02549,PROD0067,STORE035,4,12223.29,1.32,48249.99,32158.52,15987.33,False,Credit Card,Completed,-50.0
ORD024779,2023-07-07,CUST00649,PROD0249,STORE025,3,3203.26,20.21,7667.45,8106.81,-1033.52,False,Cash,Completed,-50.0
ORD052944,2023-09-23,CUST04149,PROD0480,STORE020,0,8967.79,5.92,33748.58,26437.72,7247.43,False,Credit Card,Completed,63.43
ORD088413,2023-12-11,CUST03675,PROD0623,STORE034,18,318.1,19.31,4620.2,3649.68,919.61,False,Debit Card,Completed,-50.0
ORD050666,2024-01-14,CUST06695,PROD0230,STORE012,0,103674.11,7.53,287596.36,217747.56,69640.73,False,Net Banking,Completed,208.07
ORD039587,2024-01-30,CUST07127,PROD0004,STORE010,0,19701.13,3.46,19020.18,18080.61,798.41,False,Net Banking,Completed,141.16
ORD034309,2024-03-18,CUST03018,PROD0100,STORE009,2,85976.05,12.4,150625.46,130526.9,19775.81,False,Credit Card,Completed,-50.0
ORD042763,2024-03-26,CUST04984,PROD0498,STORE025,1,7508.1,7.28,6961.4,5161.34,1661.56,False,Credit Card,Completed,-50.0
ORD069014,2024-04-01,CUST04494,PROD0579,STORE012,2,586.65,3.51,1132.09,818.64,-196.97,False,Upi,Completed,-50.0
ORD008063,2024-05-20,CUST02084,PROD0651,STORE026,5,70564.6,6.04,331495.69,251618.9,79706.0,False,Cash,Completed,-50.0
ORD064983,2024-05-27,CUST01232,PROD0367,STORE022,0,1693.27,3.45,3269.56,2408.54,808.63,False,Cash,Completed,52.39
ORD051161,2024-06-05,CUST04574,PROD0704,STORE022,0,4558.32,11.13,8101.64,6881.02,1190.62,False,Net Banking,Completed,30.0
