order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,sales_amount,cost_amount,profit,return_flag,payment_method,order_status,shipping_cost
ORD001981,2023-01-01,CUST06308,PROD0079,STORE020,2,7493.16,7.87,13807.32,13181.7,384.99,False,Net Banking,Completed,240.63
ORD014945,2023-01-01,CUST05306,PROD0509,STORE030,3,1463.16,10.56,3925.94,3741.99,-207.12,False,UPI,Completed,391.07
ORD021682,2023-01-01,CUST01797,PROD0579,STORE025,2,599.39,11.68,1058.74,818.64,-262.3,False,Net Banking,Completed,502.4
ORD032872,2023-01-01,CUST02767,PROD0142,STORE014,3,600.48,5.1,1709.61,1294.56,91.87,False,Credit Card,Completed,323.18
ORD037145,2023-01-01,CUST01813,PROD0597,STORE029,1,2206.47,2.18,2158.34,1853.28,73.24,False,Credit Card,Completed,231.82
ORD041301,2023-01-01,CUST03414,PROD0380,STORE035,3,30484.04,5.27,86632.96,73884.84,12679.07,False,Wallet,Cancelled,69.05
ORD043221,2023-01-01,CUST01620,PROD0489,STORE030,2,10743.47,3.04,20834.5,16051.96,4712.08,False,Debit Card,Completed,70.46
ORD047498,2023-01-01,CUST03496,PROD0224,STORE020,2,8577.34,10.74,15312.27,11156.86,4059.71,False,Credit Card,Completed,95.7
ORD048399,2023-01-01,CUST02788,PROD0579,STORE023,3,581.8,2.72,1697.84,1227.96,329.68,False,UPI,Completed,140.2
ORD054884,2023-01-01,CUST04230,PROD0715,STORE017,1,9682.81,14.81,8249.1,8220.75,-29.58,False,Wallet,Completed,57.93
ORD067505,2023-01-01,CUST04920,PROD0049,STORE012,1,38808.78,2.33,37904.33,31010.67,6735.61,False,UPI,Completed,158.05
ORD075372,2023-01-01,CUST04934,PROD0248,STORE023,7,8371.35,7.45,54231.35,37301.11,16777.56,False,UPI,Completed,152.68
ORD078590,2023-01-01,CUST02936,PROD0302,STORE023,3,38892.84,12.24,102397.23,92683.71,9649.38,False,Credit Card,Completed,64.14
ORD086150,2023-01-01,CUST06071,PROD0087,STORE012,4,5573.42,11.59,19710.15,15766.36,3711.91,False,Net Banking,Completed,231.88
ORD089600,2023-01-01,CUST03125,PROD0078,STORE003,3,335.09,5.65,948.43,637.38,102.85,True,UPI,Returned,208.2
ORD000938,2023-01-02,CUST00306,PROD0523,STORE026,2,20348.2,8.03,37430.07,31746.32,5508.0,False,UPI,Completed,175.75
ORD002782,2023-01-02,CUST03662,PROD0085,STORE022,6,3314.21,4.62,18966.13,16492.08,2260.85,False,Credit Card,Completed,213.2
ORD003492,2023-01-02,CUST00047,PROD0377,STORE017,4,1209.1,14.38,4140.78,3485.24,624.82,False,Credit Card,Completed,30.72
ORD007094,2023-01-02,CUST02944,PROD0608,STORE010,3,25676.63,6.04,72374.55,54431.49,17696.76,True,UPI,Returned,246.3
ORD017407,2023-01-02,CUST04627,PROD0163,STORE009,5,2294.52,10.84,10228.62,9859.2,299.44,False,UPI,Cancelled,69.98
ORD032068,2023-01-02,CUST05372,PROD0598,STORE014,4,4294.44,8.28,15755.68,11470.08,4157.57,False,Cash,Completed,128.03
ORD035605,2023-01-02,CUST06323,PROD0280,STORE003,2,62515.3,7.25,115960.53,92770.14,23144.32,False,Credit Card,Completed,46.07
ORD036345,2023-01-02,CUST05386,PROD0605,STORE026,12,10573.19,8.71,115828.74,91355.52,24136.39,False,Net Banking,Completed,336.83
ORD038483,2023-01-02,CUST01819,PROD0341,STORE028,1,11646.85,4.77,11091.16,9435.2,1619.51,False,Credit Card,Cancelled,36.45
ORD042188,2023-01-02,CUST02408,PROD0331,STORE035,1,435.49,1.08,430.77,324.32,-76.98,False,Net Banking,Completed,183.43
ORD044374,2023-01-02,CUST06983,PROD0289,STORE003,7,7492.22,24.87,39401.48,33371.03,5960.56,False,Debit Card,Completed,69.89
ORD049652,2023-01-02,CUST02246,PROD0571,STORE029,1,838.32,8.6,766.21,653.56,-45.12,False,Credit Card,Completed,157.77
ORD061044,2023-01-02,CUST06225,PROD0011,STORE014,3,1413.38,8.29,3888.47,3767.43,18.18,False,Net Banking,Pending,102.86
ORD071645,2023-01-02,CUST05105,PROD0355,STORE029,2,5647.82,1.57,11117.93,7277.3,3763.86,False,Cash,Completed,76.77
ORD072339,2023-01-02,CUST01665,PROD0655,STORE028,2,20364.85,3.54,39287.18,32130.1,6934.62,False,UPI,Completed,222.46
ORD073636,2023-01-02,CUST03414,PROD0301,STORE020,4,548.28,13.4,1899.24,1554.64,217.17,False,Net Banking,Completed,127.43
ORD022652,2023-01-03,CUST01749,PROD0064,STORE023,2,22812.67,9.15,41449.54,37931.02,3355.19,True,Cash,Returned,163.33
ORD027621,2023-01-03,CUST04660,PROD0321,STORE003,13,65846.95,8.78,780888.68,561504.45,219216.66,False,Credit Card,Cancelled,167.57
ORD044260,2023-01-03,CUST02286,PROD0607,STORE028,3,15100.8,8.48,41459.2,32115.51,9155.74,False,UPI,Completed,187.95
ORD047206,2023-01-03,CUST06290,PROD0398,STORE030,1,23638.29,1.11,23376.97,14863.52,8447.9,False,upi ,Completed,65.55
ORD051605,2023-01-03,CUST00973,PROD0022,STORE025,3,16943.44,5.1,48237.86,31219.92,16930.66,False,Credit Card,Completed,87.28
ORD064670,2023-01-03,CUST06792,PROD0067,STORE009,2,12136.69,19.17,19619.49,16079.26,3168.94,False,Net Banking,Completed,371.29
ORD068696,2023-01-03,CUST01416,PROD0715,STORE003,1,9137.3,4.76,8702.16,8220.75,413.81,False,Cash,Completed,67.6
ORD076884,2023-01-03,CUST00897,PROD0199,STORE035,5,7740.98,9.57,35002.48,30285.95,4622.26,False,Wallet,Completed,94.27
ORD087156,2023-01-03,CUST01118,PROD0521,STORE029,2,53514.68,7.21,99317.85,82080.94,17132.19,False,UPI,Completed,104.72
ORD089110,2023-01-03,CUST03969,PROD0254,STORE019,2,4815.26,5.79,9072.9,8081.68,967.52,False,Debit Card,Completed,23.7
ORD008506,2023-01-04,CUST06695,PROD0649,STORE022,2,1980.21,6.54,3701.34,2637.78,1002.0,False,UPI,Completed,61.56
ORD041382,2023-01-04,CUST00911,PROD0081,STORE019,4,79160.41,8.3,290369.51,255955.76,34307.29,False,Credit Card,Completed,106.46
ORD046784,2023-01-04,CUST04735,PROD0626,STORE010,7,7869.13,5.75,51913.97,35255.99,16462.24,False,UPI,Completed,195.74
ORD048688,2023-01-04,CUST07142,PROD0302,STORE029,3,37856.54,4.94,107960.14,92683.71,15197.77,False,Credit Card,Completed,78.66
ORD053620,2023-01-04,CUST00161,PROD0651,STORE028,3,67056.44,1.73,197697.1,150971.34,46689.27,False,Credit Card,Completed,36.49
ORD053716,2023-01-04,CUST06214,PROD0438,STORE012,4,41493.82,18.1,135941.15,107158.64,28649.02,False,Credit Card,Completed,133.49
ORD061295,2023-01-04,CUST07364,PROD0053,STORE029,2,20623.36,5.86,38828.42,27516.34,11210.65,False,UPI,Completed,101.43
ORD062470,2023-01-04,CUST03197,PROD0727,STORE009,3,25961.69,3.69,75014.75,59707.47,15199.86,False,UPI,Completed,107.42
ORD062571,2023-01-04,CUST03948,PROD0321,STORE023,3,66730.01,12.66,174843.03,129577.95,45096.64,False,Wallet,Pending,168.44
ORD072386,2023-01-04,CUST06389,PROD0355,STORE023,3,5242.35,4.83,14967.68,10915.95,3856.36,False,Credit Card,Completed,195.37
ORD077050,2023-01-04,CUST00587,PROD0368,STORE019,3,8186.08,8.97,22356.48,16749.75,5557.98,False,Net Banking,Completed,48.75
ORD080533,2023-01-04,CUST03873,PROD0030,STORE003,1,36822.96,3.3,35608.15,23597.51,11850.07,False,Cash,Completed,160.57
ORD082452,2023-01-04,CUST04918,PROD0345,STORE022,11,1107.37,13.73,10508.65,7618.27,2787.09,False,Credit Card,Cancelled,103.29
ORD084147,2023-01-04,CUST03414,PROD0662,STORE018,2,43657.21,13.26,75739.09,63316.8,12230.46,False,UPI,Completed,191.83
ORD085602,2023-01-04,CUST00181,PROD0213,STORE003,1,2587.97,6.27,2425.8,1946.96,326.98,False,Credit Card,Completed,151.86
ORD007618,2023-01-05,CUST04778,PROD0301,STORE017,1,556.68,7.9,512.72,388.66,-108.6,False,Credit Card,Completed,232.66
ORD013746,2023-01-05,CUST03661,PROD0362,STORE028,2,5064.75,11.2,8995.07,8293.08,615.55,False,UPI,Completed,86.44
ORD019296,2023-01-05,CUST05301,PROD0310,STORE028,1,22220.44,1.53,21880.13,19026.83,2744.21,False,Credit Card,Completed,109.09
ORD021757,2023-01-05,CUST03427,PROD0353,STORE019,2,1088.29,5.09,2065.79,1857.94,178.56,False,Credit Card,Completed,29.29
ORD023404,2023-01-05,CUST00909,PROD0085,STORE030,3,3283.47,3.64,9491.76,8246.04,1202.12,False,Credit Card,Completed,43.6
ORD031523,2023-01-05,CUST03243,PROD0367,STORE003,5,1661.13,15.73,6999.08,6021.35,465.82,False,Credit Card,Completed,511.91
ORD032233,2023-01-05,CUST02959,PROD0583,STORE022,1,26777.59,10.38,23998.2,22710.33,1188.9,False,Cash,Completed,98.97
ORD034894,2023-01-05,CUST07304,PROD0380,STORE026,1,28563.76,3.71,27504.38,24628.28,2837.86,False,UPI,Completed,38.24
ORD041771,2023-01-05,CUST04230,PROD0165,STORE029,2,26273.53,5.05,49893.25,42042.2,7754.73,False,Net Banking,Completed,96.32
ORD046404,2023-01-05,CUST03666,PROD0199,STORE019,3,7262.24,6.18,20439.96,18171.57,2147.31,False,Credit Card,Completed,121.08
ORD047418,2023-01-05,CUST02461,PROD0031,STORE010,2,7542.98,4.47,14412.06,11181.16,3066.68,False,UPI,Completed,164.22
ORD073470,2023-01-05,CUST00881,PROD0632,STORE030,2,39954.19,4.98,75928.32,62507.4,13146.19,False,UPI,Completed,274.73
