product_id,product_name,category,subcategory,brand,unit_cost,selling_price
PROD0003,Edge Laptop 598,Electronics,Laptops,PrimeWorks,54853.12,84282.32
PROD0004,Edge Laptop 669,Electronics,Laptops,Vertex,18080.61,20651.38
PROD0005,Elite Chair 709,Furniture,Chairs,Zenith,35660.61,41385.68
PROD0009,Max Heating 912,Appliances,Heating,Zenith,20020.92,28032.62
PROD0011,Essential Bag 311,Accessories,Bags,UrbanEdge,1255.81,1434.9
PROD0016,Edge Cabinet 862,Furniture,Cabinets,NovaTech,18044.83,21722.81
PROD0019,Plus Productivity 338,Software,Productivity,Nimbus,4523.32,5876.88
PROD0020,Smart Small Appliance 971,Appliances,Small Appliances,PrimeWorks,3563.52,4292.6
PROD0022,Smart Cleaning Appliance 866,Appliances,Cleaning Appliances,Coreline,10406.64,16659.39
PROD0028,Max Networking 857,Electronics,Networking,PrimeWorks,15150.14,22917.33
PROD0029,Core Mice 711,Accessories,Mice,Zenith,1760.4,2084.81
PROD0030,Smart Cleaning 206,Home & Office,Cleaning,Zenith,23597.51,37867.34
PROD0031,Elite Collaboration 984,Software,Collaboration,NovaTech,5590.58,7540.88
PROD0033,Core Office Equipment 668,Home & Office,Office Equipment,Zenith,31822.52,39103.03
PROD0036,Core Kitchen 440,Appliances,Kitchen,Vertex,7537.29,8576.85
PROD0038,Core Headset 104,Accessories,Headsets,Zenith,3186.28,3672.18
PROD0039,Smart Printer 617,Home & Office,Printers,UrbanEdge,11926.76,14495.65
PROD0043,Smart Smartphone 955,Electronics,Smartphones,Zenith,14320.25,23048.65
PROD0049,Max Tablet 395,Electronics,Tablets,Nimbus,31010.67,39014.94
PROD0052,Smart Smartphone 898,Electronics,Smartphones,Vertex,55306.09,64448.35
PROD0053,Core Laptop 286,Electronics,Laptops,BluePeak,13758.17,20536.28
PROD0054,Plus Printer 685,Home & Office,Printers,UrbanEdge,515.18,828.6
PROD0055,Essential Keyboard 375,Accessories,Keyboards,UrbanEdge,1840.02,2894.96
PROD0057,Edge Keyboard 957,Accessories,Keyboards,UrbanEdge,2661.77,3284.92
PROD0058,Elite Smartphone 806,Electronics,Smartphones,NovaTech,58743.48,71531.8
PROD0059,Edge Cable 955,Accessories,Cables,BluePeak,1744.29,2227.67
PROD0063,Edge Bag 656,Accessories,Bags,Nimbus,945.95,1117.07
PROD0064,Plus Smartphone 136,Electronics,Smartphones,Orion,18965.51,22249.73
PROD0065,Essential Headset 164,Accessories,Headsets,Zenith,2302.9,2707.25
PROD0067,Pro Small Appliance 773,Appliances,Small Appliances,Zenith,8039.63,12354.02
PROD0070,Smart Cleaning Appliance 272,Appliances,Cleaning Appliances,Coreline,8439.91,13239.9
PROD0071,Max Storage 799,Home & Office,Storage,Orion,3098.76,4728.79
